Change Component Comment : Designator=D1 Old Comment=1N4148 New Comment=1N4007
Change Component Comment : Designator=R1 Old Comment=82R New Comment=1k
Change Component Comment : Designator=R2 Old Comment=82R New Comment=1k
Change Component Comment : Designator=R6 Old Comment=82R New Comment=1k
Change Component Comment : Designator=R7 Old Comment=82R New Comment=1k
Change Component Comment : Designator=R12 Old Comment=82R New Comment=1k
Change Component Comment : Designator=R13 Old Comment=82R New Comment=1k
Change Component Comment : Designator=R26 Old Comment=82R New Comment=1k
Change Component Comment : Designator=R27 Old Comment=82R New Comment=1k
Change Component Comment : Designator=R11 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R15 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R17 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R21 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R23 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R25 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R29 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R31 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R34 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R35 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R36 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R37 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R38 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R39 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R40 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R41 Old Comment=100R New Comment=1k
Change Component Comment : Designator=R10 Old Comment=150R New Comment=1k
Change Component Comment : Designator=R14 Old Comment=150R New Comment=1k
Change Component Comment : Designator=R16 Old Comment=150R New Comment=1k
Change Component Comment : Designator=R20 Old Comment=150R New Comment=1k
Change Component Comment : Designator=R22 Old Comment=150R New Comment=1k
Change Component Comment : Designator=R24 Old Comment=150R New Comment=1k
Change Component Comment : Designator=R28 Old Comment=150R New Comment=1k
Change Component Comment : Designator=R30 Old Comment=150R New Comment=1k
Change Component Comment : Designator=R3 Old Comment=330R New Comment=1k
Change Component Comment : Designator=R4 Old Comment=470R New Comment=1k
Change Component Comment : Designator=R5 Old Comment=470R New Comment=1k
Change Component Comment : Designator=R8 Old Comment=470R New Comment=1k
Change Component Comment : Designator=R9 Old Comment=470R New Comment=1k
Change Component Comment : Designator=R18 Old Comment=470R New Comment=1k
Change Component Comment : Designator=R19 Old Comment=470R New Comment=1k
Change Component Comment : Designator=R32 Old Comment=470R New Comment=1k
Change Component Comment : Designator=R33 Old Comment=470R New Comment=1k
Change Component Comment : Designator=Q1 Old Comment=B562 New Comment=A1013
Change Component Comment : Designator=Q2 Old Comment=B562 New Comment=A1013
Change Component Comment : Designator=Q5 Old Comment=B562 New Comment=A1013
Change Component Comment : Designator=Q6 Old Comment=B562 New Comment=A1013
Change Component Comment : Designator=Q9 Old Comment=B562 New Comment=A1013
Change Component Comment : Designator=Q10 Old Comment=B562 New Comment=A1013
Change Component Comment : Designator=Q13 Old Comment=B562 New Comment=A1013
Change Component Comment : Designator=Q14 Old Comment=B562 New Comment=A1013
Change Component Comment : Designator=Q3 Old Comment=D468 New Comment=C2383
Change Component Comment : Designator=Q4 Old Comment=D468 New Comment=C2383
Change Component Comment : Designator=Q7 Old Comment=D468 New Comment=C2383
Change Component Comment : Designator=Q8 Old Comment=D468 New Comment=C2383
Change Component Comment : Designator=Q11 Old Comment=D468 New Comment=C2383
Change Component Comment : Designator=Q12 Old Comment=D468 New Comment=C2383
Change Component Comment : Designator=Q15 Old Comment=D468 New Comment=C2383
Change Component Comment : Designator=Q16 Old Comment=D468 New Comment=C2383
Change Component Comment : Designator=JDC1 Old Comment=Jack DC New Comment=Jac DC
Change Component Description : Designator=U1 Old Description=LM7805 New Description=LM7815
Added Member To Class: ClassName=Sheet1 Member=Component Q2 A1013
